method,metric,ndcg,n
pcu_no_zp,33.73168333333333,0.52635,12
pcu_strat=global_topk,34.25785833333333,0.6843583333333333,12
pcu_lo_only,34.665150000000004,0.5625916666666667,12
pcu_no_zt,34.710425,0.596925,12
pcu_alpha=1.0,34.91654166666667,0.6832916666666667,12
pcu_family_onehot,34.958275,0.6015416666666668,12
pcu_alpha=0.0,34.98603333333333,0.7268083333333334,12
pcu_strat=uniform_cluster,35.26808333333333,0.7093833333333334,12
pcu_no_act,35.315358333333336,0.6290166666666667,12
pcu_hi_only,35.532424999999996,0.63895,12
pcu_lambda=0.0,35.675108333333334,0.6898333333333334,12
pcu_alpha=0.9,35.73256666666666,0.704975,12
pcu_alpha=0.3,35.78853333333333,0.7095166666666667,12
pcu_no_fingerprint,35.9639,0.6812416666666666,12
pcu_lambda=0.2,35.996183333333335,0.6894166666666667,12
pcu_alpha=0.6,36.07828333333333,0.70725,12
pcu_strat=adaptive,36.180658333333334,0.7022416666666667,12
